0.65 -0.097 286 286.6458333333
0.67 -0.104 286 286.6666666667
0.69 -0.109 286 286.6875
0.71 -0.112 286 286.7083333333
0.73 -0.117 286 286.7291666667
0.75 -0.121 286 286.75
0.77 -0.123 286 286.7708333333
0.79 -0.127 286 286.7916666667
0.81 -0.128 286 286.8125
0.83 -0.136 286 286.8333333333
0.85 -0.137 286 286.8541666667
0.88 -0.132 286 286.875
0.90 -0.113 286 286.8958333333
0.92 -0.003 286 286.9166666667
0.94 0.049 286 286.9375
0.96 0.03 286 286.9583333333
0.98 -0.023 286 286.9791666667
0.00 -0.054 287 287
0.02 -0.069 287 287.0208333333
0.04 -0.076 287 287.0416666667
0.06 -0.084 287 287.0625
0.08 -0.094 287 287.0833333333
0.10 -0.104 287 287.1041666667
0.13 -0.117 287 287.125
0.15 -0.127 287 287.1458333333
0.17 -0.134 287 287.1666666667
0.19 -0.141 287 287.1875
0.21 -0.148 287 287.2083333333
0.23 -0.147 287 287.2291666667
0.25 -0.151 287 287.25
0.27 -0.155 287 287.2708333333
0.29 -0.151 287 287.2916666667
0.31 -0.155 287 287.3125
0.33 -0.154 287 287.3333333333
0.35 -0.15 287 287.3541666667
0.38 -0.145 287 287.375
0.40 0.113 287 287.3958333333
0.42 0.254 287 287.4166666667
0.44 0.407 287 287.4375
0.46 0.547 287 287.4583333333
0.48 0.58 287 287.4791666667
0.50 0.499 287 287.5
0.52 0.371 287 287.5208333333
0.54 0.246 287 287.5416666667
0.56 0.127 287 287.5625
0.58 -0.021 287 287.5833333333
0.60 -0.041 287 287.6041666667
0.63 -0.055 287 287.625
0.65 -0.067 287 287.6458333333
0.67 -0.076 287 287.6666666667
0.69 -0.083 287 287.6875
0.71 -0.089 287 287.7083333333
0.73 -0.094 287 287.7291666667
0.75 -0.1 287 287.75
0.77 -0.105 287 287.7708333333
0.79 -0.109 287 287.7916666667
0.81 -0.111 287 287.8125
0.83 -0.118 287 287.8333333333
0.85 -0.124 287 287.8541666667
0.88 -0.128 287 287.875
0.90 -0.129 287 287.8958333333
0.92 0.006 287 287.9166666667
0.94 0.129 287 287.9375
0.96 0.246 287 287.9583333333
0.98 0.326 287 287.9791666667
0.00 0.3 288 288
0.02 0.209 288 288.0208333333
0.04 0.117 288 288.0416666667
0.06 -0.017 288 288.0625
0.08 -0.048 288 288.0833333333
0.10 -0.065 288 288.1041666667
0.13 -0.074 288 288.125
0.15 -0.084 288 288.1458333333
0.17 -0.091 288 288.1666666667
0.19 -0.098 288 288.1875
0.21 -0.104 288 288.2083333333
0.23 -0.105 288 288.2291666667
0.25 -0.11 288 288.25
0.27 -0.114 288 288.2708333333
0.29 -0.117 288 288.2916666667
0.31 -0.12 288 288.3125
0.33 -0.124 288 288.3333333333
0.35 -0.126 288 288.3541666667
0.38 -0.133 288 288.375
0.40 -0.133 288 288.3958333333
0.42 0.089 288 288.4166666667
0.44 0.261 288 288.4375
0.46 0.466 288 288.4583333333
0.48 0.639 288 288.4791666667
0.50 0.697 288 288.5
0.52 0.617 288 288.5208333333
