0.00 -0.054
0.02 -0.069
0.04 -0.076
0.06 -0.084
0.08 -0.094
0.10 -0.104
0.13 -0.117
0.15 -0.127
0.17 -0.134
0.19 -0.141
0.21 -0.148
0.23 -0.147
0.25 -0.151
0.27 -0.155
0.29 -0.151
0.31 -0.155
0.33 -0.154
0.35 -0.15
0.38 -0.145
0.40 0.113
0.42 0.254
0.44 0.407
0.46 0.547
0.48 0.58
0.50 0.499
0.52 0.371
0.54 0.246
0.56 0.127
0.58 -0.021
0.60 -0.041
0.63 -0.055
0.65 -0.067
0.67 -0.076
0.69 -0.083
0.71 -0.089
0.73 -0.094
0.75 -0.1
0.77 -0.105
0.79 -0.109
0.81 -0.111
0.83 -0.118
0.85 -0.124
0.88 -0.128
0.90 -0.129
0.92 0.006
0.94 0.129
0.96 0.246
0.98 0.326
