   1.28557527       1.48303890    
   2.57115054       2.86797762    
   3.85672593       4.15481663    
   5.14230108       5.34355545    
   6.42787647       6.43419409    
   7.71345186       7.42673302    
   8.99902725       8.32117176    
   10.2846022       9.11751080    
   11.5701780       9.81575012    
   12.8557529       10.4158878    
   14.1413288       10.9179268    
   15.4269037       11.3218660    
   16.7124805       11.6277046    
   17.9980545       11.8354435    
   19.2836304       11.9450827    
   20.5692043       11.9566212    
   21.8547802       11.8700590    
   23.1403561       11.6853991    
   24.4259300       11.4026375    
   25.7115059       11.0217762    
   26.9970837       10.5428123    
   28.2826576       9.96575356    
   29.5682316       9.29059601    
   30.8538074       8.51733017    
   32.1393814       7.64597130    
   33.4249611       6.67650604    
   34.7105331       5.60894394    
   35.9961090       4.44328690    
   37.2816849       3.17952347    
   38.5672607       1.81766510    
   39.8528366      0.357696533    
   41.1384087      -1.20035934    
